question,expected_answer,key_concepts,category
"What vector database is used for RAG?","The pgvector extension for PostgreSQL stores embeddings, enabling similarity search for retrieval-augmented generation pipelines.","[""pgvector"", ""PostgreSQL"", ""vector database""]",genai
"How are embeddings generated?","Sentence-transformers models generate embeddings in data pipelines, which are versioned with DVC and stored in pgvector for retrieval.","[""sentence-transformers"", ""embeddings"", ""DVC""]",genai
"How does the RAG pipeline work?","The RAG pipeline retrieves relevant context from pgvector based on query embeddings, then generates responses using Qwen LLM with the retrieved context.","[""RAG"", ""pgvector"", ""retrieval"", ""generation""]",genai
"How does prompt versioning work?","MLflow Prompt Registry versions prompt templates as first-class artifacts, enabling evaluation tracking and controlled deployment of prompt changes.","[""MLflow"", ""prompt versioning"", ""prompt registry""]",genai
"How is prompt evaluation performed?","LLM-as-judge evaluation assesses prompt quality using configurable criteria, with results tracked in MLflow for comparison across prompt versions.","[""LLM-as-judge"", ""evaluation"", ""MLflow""]",genai
"What is the model promotion workflow?","Models progress through stages in MLflow registry using aliases. The champion alias marks production models, with promotion triggered after validation.","[""MLflow"", ""model registry"", ""champion"", ""promotion""]",mlops
"How does environment promotion work?","Namespaces separate ci, staging, and production environments. Argo Workflows orchestrate promotion with validation gates between stages.","[""namespaces"", ""staging"", ""production"", ""promotion""]",mlops
"How does CI/CD integration work?","GitHub Actions with Actions Runner Controller executes CI pipelines in-cluster, triggering Argo Workflows for training and deployment automation.","[""GitHub Actions"", ""ARC"", ""CI/CD""]",infrastructure
"What Kubernetes distribution is used?","Minikube provides local Kubernetes development with GPU passthrough for the NVIDIA RTX 4070 Ti SUPER, enabling realistic GPU workload testing.","[""Minikube"", ""GPU"", ""local development""]",infrastructure
"What workloads demonstrate the platform?","Five workloads validate the platform: wine classification with sklearn, Fashion MNIST with PyTorch Lightning, emotion classification with DistilBERT, Qwen-VL fine-tuning, and RAG pipeline.","[""wine"", ""Fashion MNIST"", ""emotion"", ""Qwen-VL"", ""RAG""]",workloads
"How does the wine classifier workload work?","The wine classifier uses scikit-learn with MLflow tracking, demonstrating the basic ML lifecycle including training, registry, and Ray Serve deployment.","[""wine"", ""scikit-learn"", ""MLflow""]",workloads
"What does the Fashion MNIST workload demonstrate?","Fashion MNIST validates distributed training using PyTorch Lightning with Ray Train DDP strategy across multiple workers with GPU acceleration.","[""Fashion MNIST"", ""PyTorch Lightning"", ""distributed""]",workloads
"How does the emotion classifier work?","The emotion classifier fine-tunes DistilBERT using Ray Tune with ASHA scheduler for hyperparameter optimization, tracking all trials in MLflow.","[""emotion"", ""DistilBERT"", ""Ray Tune"", ""ASHA""]",workloads
"What is the Qwen-VL workload?","Qwen-VL fine-tuning demonstrates vision-language model training with GPU scheduling, producing a model for multimodal educational content analysis.","[""Qwen-VL"", ""vision-language"", ""fine-tuning""]",workloads
"How does distributed tracing work?","OpenTelemetry instrumentation with Tempo backend enables end-to-end request tracing across frontend, backend, and ML services with correlation IDs.","[""OpenTelemetry"", ""Tempo"", ""tracing"", ""correlation""]",observability
